Emissions ktCO2eq;;;;;;;CEPII;;;;;;;;;;;;;;;OECD;;;;;;;;;;;;;;;IIASA;;;;;;;;;;;;;;;PIK;;;;;;;;;;;;;;
Country;Emission type;;;;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;
;;1990;1995;2000;2005;2010;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95
Afghanistan;co2;2013.73;2305.02;2456.66;3074.88;6357.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;ch4;7627.62;7885.92;9384.27;10698.66;13493.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;n2o;2749.7;2734.2;3317;3503;3357.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;hfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;GHGexclLU;12391.05;12925.14;15157.93;17276.54;23207.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;co2lu;5463.333333;5866.666667;5610;3175.333333;1400.666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;GHGtot;17854.38333;18791.80667;20767.93;20451.87333;24608.38667;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512;42575.78851;45552.9363;48531.7512
