;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Pays;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040
Afghanistan;827.85;1183.05;1551.72;1838.99;2380.4;827.85;1183.05;1519.81;1628.74;1888.22;827.85;1183.05;1448.65;1387.39;1459.86;827.85;1183.05;1449.39;1398.46;1499.51;827.85;1183.05;1631.67;2088.61;2942.27
Albania;5997.9;7791.76;12221.89;20058.46;30918.72;5997.9;7791.76;12112.18;18972.63;27699.01;5997.9;7791.76;11574.25;16529.8;22261.85;5997.9;7791.76;11700.75;17596.52;24475.89;5997.9;7791.76;12746.28;22026.48;35303.42
Algeria;7000.49;7320.93;8156.69;9926.16;11768.15;7000.49;7320.93;8062.39;9313.07;10534.01;7000.49;7320.93;7701.72;7941.97;7965.42;7000.49;7320.93;7843.8;8762.2;9311.03;7000.49;7320.93;8483.31;10813.63;13521.61
Andorra;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;3343.43;5048.11;7300.45;11369.15;17211.05;3343.43;5048.11;7186.73;10363.47;14667.33;3343.43;5048.11;6944.2;8870;11029.13;3343.43;5048.11;7017.55;9086.97;11408.06;3343.43;5048.11;7427.01;11987.04;19651.72
Antigua and Barbuda;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;10842.75;14376.33;18666.94;24707.15;32997.66;10842.75;14376.33;18425.08;22923.03;28501.46;10842.75;14376.33;17546.73;19370.71;21021.15;10842.75;14376.33;17770.66;20997.71;24350.08;10842.75;14376.33;19437.65;27308.87;38685.87
Armenia;4165.79;5113.09;10497.21;22340.61;45649.64;4165.79;5113.09;10407.57;21225.67;40917.8;4165.79;5113.09;9963.65;18724.03;33213.83;4165.79;5113.09;10042.37;19638.73;36014.47;4165.79;5113.09;10935.76;24316.62;50873.93
Australia;32325.94;34096.77;40009.34;49425.35;62938.17;32325.94;34096.77;39919.84;48462.44;58639.61;32325.94;34096.77;38672.25;44323.51;47728.27;32325.94;34096.77;41550.76;53258.61;67358.15;32325.94;34096.77;41402.4;52894.75;71160.88
Austria;33582.39;35261.91;41821.28;50633.47;60897.29;33582.39;35261.91;41600.17;48444.89;55016.62;33582.39;35261.91;39769.57;42659.57;43655.11;33582.39;35261.91;43557.35;55897.6;70617.08;33582.39;35261.91;43388.44;54743.29;69505.66
Azerbaijan;4406.07;8872.79;15031;27307.75;48276.16;4406.07;8872.79;14905.52;26070.97;43829.75;4406.07;8872.79;14395.99;23328.07;35891.34;4406.07;8872.79;14646.61;25054.9;40159.11;4406.07;8872.79;15452.36;29286.59;55035.69
Bahamas;30276.9;27169.94;29554.31;33790.64;39632.43;30276.9;27169.94;29240.41;31644.46;34738.55;30276.9;27169.94;28008.58;27722.35;27690.26;30276.9;27169.94;28284.8;29625.4;31176.52;30276.9;27169.94;30591.35;36736.92;45348.51
Bahrain;23130.69;21487.71;21797.92;22182.65;25027.88;23130.69;21487.71;21532.46;20771.66;22127.49;23130.69;21487.71;20884.79;18703.45;17845.23;23130.69;21487.71;20906.32;19213.5;19279.56;23130.69;21487.71;22593.86;24954.58;31831.33
Bangladesh;1143.87;1464.32;2176.46;3132.24;4536.41;1143.87;1464.32;2142.93;2867.61;3844.78;1143.87;1464.32;2045.79;2445.89;2896.89;1143.87;1464.32;2071.63;2640.43;3270.63;1143.87;1464.32;2268.74;3495.72;5395.13
Barbados;23003.96;23260.6;27243.19;33250.63;40011.31;23003.96;23260.6;27119.54;32095.51;37251.23;23003.96;23260.6;26047.33;28366.27;30029.95;23003.96;23260.6;26234.96;29860.38;32875.21;23003.96;23260.6;28255.35;36194.17;45647.88
Belarus;8638.8;12503.4;23845.7;46135.49;83921.92;8638.8;12503.4;23701.46;44296.84;76534.33;8638.8;12503.4;22730.08;39079;61311.2;8638.8;12503.4;22847.49;40943.01;67522.5;8638.8;12503.4;24946.03;51462.08;98917.77
Belgium;32099.11;32739.38;36997.75;43891.39;52530.61;32099.11;32739.38;36285.84;41583.8;47183.92;32099.11;32739.38;34321.72;36541.66;37587.3;32099.11;32739.38;38535.25;48563.6;60475.55;32099.11;32739.38;38390.5;47388.81;59720.17
Belize;6707.53;6675.29;8283.77;11066.7;14471.98;6707.53;6675.29;8087.96;9792.65;11687.82;6707.53;6675.29;7679.78;8165.64;8584.48;6707.53;6675.29;7667.01;8137.43;8617.35;6707.53;6675.29;8680.83;12555.3;17725.17
Benin;1279.39;1321.27;1640.79;2308.57;3383.1;1279.39;1321.27;1607.06;2063.71;2755.79;1279.39;1321.27;1534.55;1767.93;2087.2;1279.39;1321.27;1527.22;1742.9;2086.55;1279.39;1321.27;1709.96;2604.53;4110.29
Bhutan;3527.67;5030.86;8816.28;14893.5;24878.43;3527.67;5030.86;8700.15;13822.11;21714.26;3527.67;5030.86;8295.47;11698.5;15930.7;3527.67;5030.86;8403.04;12662.94;18321.3;3527.67;5030.86;9209.22;16530.72;29146.99
Bolivia;3688.15;4246.44;5482.92;7377.7;9893.08;3688.15;4246.44;5378.31;6647.65;8286.51;3688.15;4246.44;5086.78;5388.49;5727.79;3688.15;4246.44;5084.18;5385.32;5793.72;3688.15;4246.44;5713.47;8295.62;11943.92
Bosnia and Herzegovina;6179.37;7290.09;10603.37;15670.71;22003.14;6179.37;7290.09;10562.59;15213.97;20717.58;6179.37;7290.09;10138.78;13574.79;17206.79;6179.37;7290.09;10169.27;13998.75;18195.44;6179.37;7290.09;11063.88;17291.15;25295.03
Botswana;11176.42;12601.45;19426.71;30206.7;44970.62;11176.42;12601.45;19238.11;28164.42;39371.32;11176.42;12601.45;18392.75;24379.57;30459.83;11176.42;12601.45;18664.7;26590.67;35518.63;11176.42;12601.45;20098.22;32678.48;50777.05
Brazil;8502.31;10079.27;12147.88;15605.4;20072.46;8502.31;10079.27;12024.49;14684.43;17933.22;8502.31;10079.27;11504.42;12758.26;14058.88;8502.31;10079.27;11631.16;13653.27;15807.61;8502.31;10079.27;12623.3;17148.65;23282.56
Brunei Darussalam;47760.01;45319.25;41868.86;39375.13;36927.81;47760.01;45319.25;41516.34;37231.46;33442.04;47760.01;45319.25;40400.61;34778.14;30009.35;47760.01;45319.25;41284.11;38326.61;35024.18;47760.01;45319.25;42871.31;40422.03;38576.56
Bulgaria;9881.71;11730.91;17275.73;27716.99;43621.26;9881.71;11730.91;17191.95;26762.01;40132.91;9881.71;11730.91;16476.69;23535.18;31876.81;9881.71;11730.91;16549.9;24548.03;34948.88;9881.71;11730.91;18058.19;31008.77;51896.92
Burkina Faso;1072.18;1204.5;1742.29;2727.01;4186.4;1072.18;1204.5;1696.95;2380.53;3312.53;1072.18;1204.5;1603.56;1943.62;2307.97;1072.18;1204.5;1604.86;1961.82;2375.6;1072.18;1204.5;1798.23;2937.57;4706.32
Burundi;453.44;475.38;488.66;575.04;690.1;453.44;475.38;480.81;526.11;576.18;453.44;475.38;458.72;449.33;433.26;453.44;475.38;458.6;449.65;441.74;453.44;475.38;506.45;627.65;803
Cabo Verde;2912.41;3964.49;6298.07;10236.45;9687.22;2912.41;3964.49;6185.01;9256.07;8393.82;2912.41;3964.49;5887.14;7857.46;6437.48;2912.41;3964.49;5978.65;8602.54;7294.61;2912.41;3964.49;6539.55;11115.83;11160.55
Cambodia;1508.14;1937.08;3224.25;5687.3;5268.12;1508.14;1937.08;3181.13;5275.15;4331.15;1508.14;1937.08;3039.64;4518.07;3005.08;1508.14;1937.08;3079.23;4911.4;3081.73;1508.14;1937.08;3344.51;6248.52;6129.51
Cameroon;1921.79;1948.47;2499.97;3688.64;64662.14;1921.79;1948.47;2446.52;3310;61577.96;1921.79;1948.47;2315.01;2693.69;50741.01;1921.79;1948.47;2318.37;2715.35;70551.16;1921.79;1948.47;2592.47;4041.07;73410.27
