;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Pays;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040
Afghanistan;22.37228525;;;;;22.37228525;;;;;22.37228525;;;;;22.37228525;;;;;22.37228525;;;;
Albania;19.18827964;;;;;19.18827964;;;;;19.18827964;;;;;19.18827964;;;;;19.18827964;;;;
Algeria;272.0551956;;;;;272.0551956;;;;;272.0551956;;;;;272.0551956;;;;;272.0551956;;;;
Andorra;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;60.01430024;;;;;60.01430024;;;;;60.01430024;;;;;60.01430024;;;;;60.01430024;;;;
Antigua and Barbuda;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;419.0488474;489.320172;743.7057481;994.3703318;1262.471419;419.0488474;489.320172;734.7233388;970.6441185;1200.779753;419.0488474;489.320172;717.1475754;916.1238184;1125.247323;419.0488474;489.320172;698.5446139;834.3016864;936.5429475;419.0488474;489.320172;747.8644337;1026.362105;1355.011825
Armenia;12.55949697;15.94963687;39.79540477;69.8498089;80.33169487;12.55949697;15.94963687;39.84509783;68.19014339;79.28092061;12.55949697;15.94963687;40.21101483;69.94567853;83.28753598;12.55949697;15.94963687;39.03577908;62.57888157;67.34692153;12.55949697;15.94963687;39.69007354;69.88804332;81.39209443
Australia;666.87805;877.882883;1365.608707;1945.701956;2543.156188;666.87805;877.882883;1369.265832;1932.080812;2482.443899;666.87805;877.882883;1121.900831;1229.000511;1346.173772;666.87805;877.882883;1375.057126;1926.257313;2428.042971;666.87805;877.882883;1402.503481;2159.53117;3102.8205
Austria;276.6721607;307.1688648;343.5826447;378.5912214;431.5261136;276.6721607;307.1688648;342.7293297;372.0050569;413.828915;276.6721607;307.1688648;323.767326;321.1756385;328.7033767;276.6721607;307.1688648;343.7938408;370.9225839;404.6030596;276.6721607;307.1688648;349.7318058;409.6531638;510.2092153
Azerbaijan;37.73096549;79.24812066;286.1899986;343.0663584;366.8280224;37.73096549;79.24812066;298.7928438;356.7195591;381.7582732;37.73096549;79.24812066;286.0987138;342.73228;371.4974824;37.73096549;79.24812066;291.0531495;322.5961053;314.2337747;37.73096549;79.24812066;288.6759651;357.1729034;399.9652676
Bahamas;8.415524597;8.741564909;12.32674573;16.22659058;20.53971739;8.415524597;8.741564909;12.38709507;16.33238414;20.87322785;8.415524597;8.741564909;10.87941001;12.54487364;15.22000458;8.415524597;8.741564909;11.91844552;14.62910201;17.46972033;8.415524597;8.741564909;12.50004059;17.22345228;23.16479962
Bahrain;20.34422475;26.92824172;64.02818284;96.15307132;132.9977093;20.34422475;26.92824172;64.53275755;96.75080741;134.1201159;20.34422475;26.92824172;63.24817686;87.5828107;109.9970382;20.34422475;26.92824172;62.74375037;87.23198474;110.1929476;20.34422475;26.92824172;67.52189877;112.3061072;170.9601404
Bangladesh;163.7281424;214.7591938;328.7313127;488.8868664;728.0371622;163.7281424;214.7591938;313.4523318;418.7083457;559.1045837;163.7281424;214.7591938;306.61845;369.78452;421.7816333;163.7281424;214.7591938;299.8055636;357.5654194;413.0784799;163.7281424;214.7591938;331.0044236;517.6007433;836.4611717
Barbados;4.859542249;6.527509235;5.391862535;5.233325707;6.116961531;4.859542249;6.527509235;5.381219181;5.091607357;5.724338817;4.859542249;6.527509235;5.343957167;4.846682578;5.150953916;4.859542249;6.527509235;5.270308669;4.601828349;4.687132025;4.859542249;6.527509235;5.437723813;5.474715299;6.746777642
Belarus;83.49152746;124.87734;203.1599216;231.9897199;244.8065435;83.49152746;124.87734;204.186458;230.3703735;241.6340597;83.49152746;124.87734;204.9842325;228.7609157;236.6355838;83.49152746;124.87734;200.8985137;214.8277755;210.5260038;83.49152746;124.87734;204.5274667;241.5918063;268.0990242
Belgium;337.2131233;360.5734843;509.9303466;744.2514067;975.8509044;337.2131233;360.5734843;510.3939037;733.256553;937.7739095;337.2131233;360.5734843;384.1517962;397.1328636;423.3138695;337.2131233;360.5734843;513.7560489;732.061392;913.9835941;337.2131233;360.5734843;518.0701239;792.0288944;1106.30538
Belize;1.825017017;2.600618301;3.873905784;5.634868233;7.218885512;1.825017017;2.600618301;3.636474688;4.987052383;6.346472693;1.825017017;2.600618301;3.527493643;4.72710262;5.964475319;1.825017017;2.600618301;3.474082053;4.477983031;5.410483979;1.825017017;2.600618301;3.87892952;5.642953299;7.224674292
Benin;10.29898696;9.811909845;15.07153667;25.78234432;44.08151047;10.29898696;9.811909845;14.06330676;21.61514796;32.67634161;10.29898696;9.811909845;13.69981404;19.1107842;25.03763797;10.29898696;9.811909845;13.73073526;20.02933325;28.41596031;10.29898696;9.811909845;15.3011486;28.06387724;53.16733758
Bhutan;2.294456324;3.154970879;7.821519862;13.49531859;19.08422863;2.294456324;3.154970879;7.727552565;14.11626798;19.41698723;2.294456324;3.154970879;7.501637855;12.53724375;15.90187414;2.294456324;3.154970879;7.375297715;12.02040319;14.56790337;2.294456324;3.154970879;7.970977064;14.58094491;22.14225862
