;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Pays;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040
Afghanistan;22.372;37.237;59.153;109.567;227.005;22.372;37.237;60.175;101.896;177.824;22.372;37.237;61.865;101.892;164.742;22.372;37.237;61.385;98.723;151.755;22.372;37.237;58.848;114.303;257.527
Albania;19.17;24.545;30.452;41.037;55.608;19.17;24.545;30.562;39.071;48.348;19.17;24.545;31.008;38.548;44.756;19.17;24.545;30.344;38.415;47.378;19.17;24.545;30.302;42.765;62.17
Algeria;272.055;318.142;536.362;787.776;1061.287;272.055;318.142;539.009;770.483;1003.909;272.055;318.142;513.489;701.429;878.513;272.055;318.142;537.896;796.523;1099.313;272.055;318.142;567.148;921.726;1414.17
Andorra;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;55.315;98.686;171.984;232.32;304.102;55.315;98.686;172.787;218.446;244.75;55.315;98.686;171.468;217.801;225.297;55.315;98.686;172.16;225.039;257.078;55.315;98.686;173.632;264.116;401.276
Antigua and Barbuda;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;419.049;580.427;861.408;1234.956;1689.617;419.049;580.427;867.442;1198.221;1553.995;419.049;580.427;875.897;1153.872;1374.993;419.049;580.427;859.903;1157.428;1449.039;419.049;580.427;861.04;1300.414;1910.408
Armenia;12.559;15.153;21.519;31.593;45.427;12.559;15.153;21.524;28.975;36.923;12.559;15.153;21.858;28.684;34.267;12.559;15.153;21.342;28.709;36.904;12.559;15.153;21.351;32.992;50.073
Australia;695.934;795.588;1114.003;1490.87;1946.39;695.934;795.588;1109.603;1435.039;1767.154;695.934;795.588;1073.369;1295.774;1451.781;695.934;795.588;1103.883;1465.843;1896.913;695.934;795.588;1148.951;1673.625;2432.613
Austria;276.596;296.85;363.264;430.982;511.749;276.596;296.85;361.062;418.795;486.079;276.596;296.85;352.898;387.705;413.397;276.596;296.85;359.348;423.521;496.695;276.596;296.85;369.241;467.186;603.857
Azerbaijan;37.731;80.696;105.154;128.874;152.748;37.731;80.696;105.753;126.205;136.835;37.731;80.696;106.293;126.925;129.773;37.731;80.696;104.768;127.455;140.598;37.731;80.696;105.389;138.677;181.027
Bahamas;9.964;9.647;12.364;15.577;19.244;9.964;9.647;12.473;15.315;18.052;9.964;9.647;12.433;14.604;16.097;9.964;9.647;12.369;15.279;18.331;9.964;9.647;12.498;16.684;22.427
Bahrain;20.344;26.934;44.72;72.013;106.143;20.344;26.934;44.987;71.569;103.751;20.344;26.934;42.89;60.938;76.728;20.344;26.934;44.59;69.247;97.175;20.344;26.934;46.788;80.992;129.828
Bangladesh;163.728;221.297;422.378;840.967;1590.473;163.728;221.297;424.974;750.712;1179.101;163.728;221.297;429.037;707.552;965.74;163.728;221.297;416.077;653.221;811.585;163.728;221.297;422.673;917.807;1920.861
Barbados;4.86;4.804;5.608;6.834;8.399;4.86;4.804;5.616;6.623;7.638;4.86;4.804;5.604;6.34;6.733;4.86;4.804;5.582;6.743;7.986;4.86;4.804;5.624;7.22;9.587
Belarus;83.492;118.671;176.778;250.038;330.894;83.492;118.671;176.267;234.472;287.769;83.492;118.671;176.105;222.019;250.293;83.492;118.671;174.784;229.841;278.533;83.492;118.671;177.168;266.159;376.506
Belgium;337.321;357.666;420.166;511.964;633.155;337.321;357.666;418.201;502.917;613.192;337.321;357.666;409.444;464.168;516.515;337.321;357.666;415.211;499.519;605.236;337.321;357.666;427.678;551.859;737.048
Belize;1.825;2.061;2.592;3.903;5.977;1.825;2.061;2.611;3.653;5.08;1.825;2.061;2.642;3.566;4.652;1.825;2.061;2.595;3.312;4.059;1.825;2.061;2.574;3.989;6.434
Benin;10.299;12.601;19.378;38.283;82.082;10.299;12.601;19.318;33.205;57.238;10.299;12.601;19.279;30.3;44.409;10.299;12.601;19.321;29.873;41.444;10.299;12.601;19.494;41.991;102.626
Bhutan;2.294;3.47;9.745;21.123;37.479;2.294;3.47;9.804;19.99;33.684;2.294;3.47;9.7;17.833;26.213;2.294;3.47;9.671;18.967;29.979;2.294;3.47;9.959;23.578;45.549
Bolivia;34.502;43.19;68.298;118.718;203.564;34.502;43.19;69.511;113.995;176.448;34.502;43.19;71.534;110.77;153.94;34.502;43.19;71.133;113.806;173.438;34.502;43.19;67.786;123.32;226.442
Bosnia and Herzegovina;23.975;28.065;37.787;57.74;80.304;23.975;28.065;37.579;53.94;70.17;23.975;28.065;37.511;51.348;62.093;23.975;28.065;37.377;53.339;68.936;23.975;28.065;37.978;61.832;91.632
Botswana;21.649;25.012;38.707;56.86;78.903;21.649;25.012;38.869;54.411;70.468;21.649;25.012;37.733;48.685;56.218;21.649;25.012;37.819;51.436;64.002;21.649;25.012;39.037;60.995;91.768
Brazil;1582.642;1967.541;2796.631;3996.137;5564.084;1582.642;1967.541;2814.726;3776.172;4687.932;1582.642;1967.541;2833.335;3616.064;4058.533;1582.642;1967.541;2790.695;3693.666;4542.876;1582.642;1967.541;2800.474;4238.996;6409.806
Brunei Darussalam;17.567;18.153;24.275;31.801;39.663;17.567;18.153;24.759;32.244;40.311;17.567;18.153;24.403;29.785;34.165;17.567;18.153;24.211;30.856;36.688;17.567;18.153;24.453;33.717;44.736
Bulgaria;75.923;86.738;119.24;178.81;242.887;75.923;86.738;118.414;165.035;208.546;75.923;86.738;118;152.869;173.646;75.923;86.738;117.827;162.195;201.16;75.923;86.738;120.07;194.178;283.306
Burkina Faso;14.391;18.709;34.144;71.961;155.782;14.391;18.709;34.931;66.267;121.424;14.391;18.709;35.536;61.498;95.245;14.391;18.709;35.362;59.462;86.54;14.391;18.709;34.129;77.421;186.044
Burundi;3.523;4.389;7.98;18.515;47.267;3.523;4.389;8.01;15.805;31.322;3.523;4.389;7.89;13.361;20.793;3.523;4.389;8.006;13.436;19.655;3.523;4.389;8.176;21.728;64.933
Cabo Verde;1.243;1.723;2.666;4.326;6.855;1.243;1.723;2.697;4.016;5.597;1.243;1.723;2.774;4.082;5.388;1.243;1.723;2.666;3.915;5.372;1.243;1.723;2.62;4.388;7.215
Cambodia;20.143;27.826;54.263;102.551;181.993;20.143;27.826;54.689;92.85;140.369;20.143;27.826;55.373;88.837;120.384;20.143;27.826;53.193;80.22;98.186;20.143;27.826;54.078;109.745;210.093
Cameroon;34.857;40.336;65.024;124.026;243.868;34.857;40.336;65.952;115.837;196.115;34.857;40.336;66.819;107.899;158.263;34.857;40.336;66.697;104.808;146.464;34.857;40.336;65.158;133.481;290.844
Canada;1131.835;1201.888;1537.669;1845.407;2237.861;1131.835;1201.888;1531.718;1861.567;2245.51;1131.835;1201.888;1488.502;1715.258;2004.307;1131.835;1201.888;1521.654;1845.615;2263.128;1131.835;1201.888;1576.148;2114.057;3021.337
Central African Republic;2.7;3.114;4.983;9.86;21.613;2.7;3.114;5.052;8.856;15.355;2.7;3.114;5.063;7.832;10.948;2.7;3.114;5.056;7.579;9.788;2.7;3.114;5.007;10.971;27.84
Chad;13.445;15.011;22.093;44.595;98.936;13.445;15.011;21.949;38.514;71.418;13.445;15.011;22.116;35.807;57.139;13.445;15.011;22.013;35.079;53.958;13.445;15.011;22.079;47.557;116.232
Chile;198.286;232.988;365.612;529.693;721.861;198.286;232.988;367.453;510.276;654.17;198.286;232.988;368.699;484.762;565.829;198.286;232.988;364.611;496.618;621.23;198.286;232.988;366.954;560.695;818.606
China;5362.83;9121.348;20548.481;38292.486;56255.385;5362.83;9121.348;20376.807;33582.335;43613.037;5362.83;9121.348;20318.299;31120.25;36249.662;5362.83;9121.348;20259.872;33580.307;43862.356;5362.83;9121.348;20772.39;42651.711;67337.086
China_Taiwan;;;;;;;;;;;;;;;;;;;;;;;;;
Colombia;314.392;392.55;599.464;871.298;1304.33;314.392;392.55;605.146;829.777;1123.587;314.392;392.55;612.902;801.137;978.445;314.392;392.55;600.576;807.242;1065.687;314.392;392.55;600.653;927.214;1503.977
Comoros;0.677;0.723;1.016;2.096;4.582;0.677;0.723;1.038;1.92;3.53;0.677;0.723;1.054;1.734;2.692;0.677;0.723;1.045;1.661;2.403;0.677;0.723;1.012;2.244;5.477
Congo;11.946;15.396;30.143;57.555;104.378;11.946;15.396;30.3;53.2;85.623;11.946;15.396;30.27;49.145;70.808;11.946;15.396;30.407;48.806;68.695;11.946;15.396;30.415;62.333;124.366
Congo_the Democratic Republic of the;15.905;20.876;44.117;136.034;398.47;15.905;20.876;44.539;116.725;263.901;15.905;20.876;45.221;106.192;196.864;15.905;20.876;45.037;101.024;170.664;15.905;20.876;44.445;154.943;522.261
Cook Islands;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;38.964;48.697;74.678;112.362;162.364;38.964;48.697;75.296;107.08;142.716;38.964;48.697;75.357;100.558;121.29;38.964;48.697;74.798;103.93;134.207;38.964;48.697;75.499;122.088;193.578
Cote d'Ivoire;30.023;33.443;59.253;149.694;332.45;30.023;33.443;60.178;137.605;268.618;30.023;33.443;61.758;127.518;212.184;30.023;33.443;61.047;120.078;186.981;30.023;33.443;59.013;159.201;377.198
Croatia;68.104;71.255;81.775;99.485;120.707;68.104;71.255;81.696;95.724;109.931;68.104;71.255;81.379;91.083;96.966;68.104;71.255;81.232;96.998;114.546;68.104;71.255;82.138;105.414;137.597
Cuba;49.927;64.7;87.467;117.094;157.73;49.927;64.7;85.199;104.175;123.751;49.927;64.7;81.962;93.899;101.618;49.927;64.7;82.119;98.291;116.146;49.927;64.7;88.35;127.476;185.791
Cyprus;18.496;20.867;22.876;28.751;37.453;18.496;20.867;22.938;27.823;33.972;18.496;20.867;22.661;25.87;28.827;18.496;20.867;22.822;28.347;36.304;18.496;20.867;23.267;31.568;45.777
Czech Republic;217.66;248.639;339.277;473.026;627.052;217.66;248.639;336.695;452.352;582.1;217.66;248.639;327.654;412.647;483.806;217.66;248.639;335.542;463.155;604.628;217.66;248.639;346.842;519.679;744.993
Denmark;179.876;180.168;212.78;251.253;300.892;179.876;180.168;211.42;243.015;282.888;179.876;180.168;206.662;225.353;241.847;179.876;180.168;210.224;246.038;290.89;179.876;180.168;216.694;272.943;354.662
Djibouti;1.488;1.884;3.164;6.163;11.689;1.488;1.884;3.171;5.883;10.266;1.488;1.884;3.147;5.474;8.508;1.488;1.884;3.143;5.412;8.338;1.488;1.884;3.171;6.547;13.39
Dominica;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;59.109;83.26;127.115;186.608;264.918;59.109;83.26;128.565;181.029;240.75;59.109;83.26;130.737;176.491;216.698;59.109;83.26;127.079;173.499;223.062;59.109;83.26;126.415;192.293;288.275
Ecuador;87.411;104.16;149.147;223.232;341.124;87.411;104.16;150.959;215.201;298.437;87.411;104.16;154.093;208.976;262.497;87.411;104.16;150.15;207.761;279.252;87.411;104.16;148.714;234.464;388.385
Egypt;333.218;449.698;708.512;1279.657;2211.749;333.218;449.698;713.422;1212.6;1918.477;333.218;449.698;719.177;1148.723;1626.011;333.218;449.698;702.058;1156.221;1760.868;333.218;449.698;708.613;1356.454;2518.741
El Salvador;34.501;37.019;45.372;61.881;87.514;34.501;37.019;45.643;58.669;75.07;34.501;37.019;47.412;61.061;74.515;34.501;37.019;44.998;53.621;58.87;34.501;37.019;44.143;60.069;86.015
Equatorial Guinea;15.08;21.538;27.725;40.671;57.001;15.08;21.538;27.974;39.15;52.177;15.08;21.538;27.913;36.971;45.755;15.08;21.538;28.343;39.413;52.434;15.08;21.538;28.174;43.805;66.478
