Pays;Region PIK;1990;1995;2000;2005
Afghanistan;R32PAK;;;;22.37228525
Albania;R32EEU;12.87490436;11.31361603;14.75752336;19.18827964
Algeria;R32NAF;132.9379472;160.0212739;209.5476708;272.0551956
Andorra;;;;;
Angola;R32SSA-M;34.01095225;26.91719598;36.68444551;60.01430024
Antigua and Barbuda;R32LAM-M;;;;
Argentina;R32LAM-M;243.4569218;334.3800882;379.7365322;419.0488474
Armenia;R32CAS;10.41393289;5.499353222;7.060746193;12.55949697
Australia;R32AUNZ;409.207104;461.3356926;570.0561869;666.87805
Austria;R32EU15;196.310321;217.988037;254.5733834;276.6721607
Azerbaijan;R32CAS;34.03335982;14.24641216;20.04064262;37.73096549
Bahamas;R32LAM-M;6.047486674;6.018580383;7.755941624;8.415524597
Bahrain;R32MEA-H;8.827474982;12.25785503;15.14149057;20.34422475
Bangladesh;R32OAS-L;78.64628117;97.49592244;125.6766393;163.7281424
Barbados;R32LAM-M;4.177055136;4.106573609;4.86224438;4.859542249
Belarus;R32EEU-FSU;65.55663132;42.80383571;58.12948597;83.49152746
Belgium;R32EU15;250.1421813;270.7097413;311.6222285;337.2131233
Belize;R32LAM-L;0.79021098;1.04799935;1.404041848;1.825017017
Benin;R32SSA-L;5.33164693;6.563465731;8.515287806;10.29898696
Bhutan;R32OAS-M;0.937808756;1.137408037;1.544188896;2.294456324
Bolivia;R32LAM-M;20.46895968;25.02086728;29.63190116;34.50153601
Bosnia and Herzegovina;R32EEU;;5.457210154;18.52343835;23.59328948
Botswana;R32SSA-M;9.604931163;11.71276398;16.75467858;21.64942286
Brazil;R32BRA;1073.703993;1248.856055;1379.548841;1582.642363
Brunei Darussalam;R32OAS-M;12.70538858;14.83980097;15.85410822;17.56684703
Bulgaria;R32EU12-M;65.69856751;57.54939251;58.20729504;75.99580835
Burkina Faso;R32SSA-L;6.345268818;7.687038896;10.64981971;14.2978028
Burundi;R32SSA-L;2.74969333;2.421293096;2.253629041;2.509912958
Cabo Verde;R32SSA-L;0.567834227;0.731744769;0.997326833;1.277543887
Cambodia;R32OAS-CPA;;9.056962418;12.88873329;20.14333375
Cameroon;R32SSA-L;25.35736948;23.04329056;29.05565035;34.856839
