;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Pays;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040
Afghanistan;27.614718;31.4117429;39.53489979;47.67420801;55.00121769;27.614718;31.4117429;40.60214168;51.68935999;63.59875498;27.614718;31.4117429;41.88610312;56.28966427;72.8272597;27.614718;31.4117429;41.59961716;55.15309782;70.54457141;27.614718;31.4117429;39.24746865;46.5939932;52.87422261
Albania;3.1418;3.204284;3.244864356;3.226046905;3.16116226;3.1418;3.204284;3.27074212;3.300564238;3.274406672;3.1418;3.204284;3.336762446;3.484076396;3.552132178;3.1418;3.204284;3.248284075;3.225171106;3.140775485;3.1418;3.204284;3.216256547;3.147711528;3.053015128
Algeria;4.069349;7.51169;10.9485099;13.05877641;14.79825362;4.069349;7.51169;11.04287156;13.35853175;15.35700192;4.069349;7.51169;10.5501775;12.16555498;13.48818303;4.069349;7.51169;10.9852618;13.14013145;14.89310283;4.069349;7.51169;11.53821651;14.45805357;16.94968931
Andorra;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;16.489021;19.081912;24.58307454;29.85125025;34.50656666;16.489021;19.081912;25.23915849;31.85515739;38.16379788;16.489021;19.081912;25.49163453;33.35682735;41.33682139;16.489021;19.081912;25.58769178;33.62633377;41.75201171;16.489021;19.081912;24.63481635;30.01394756;34.78452827
Antigua and Barbuda;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;38.681174;40.412376;43.04365326;44.61070719;45.36665165;38.681174;40.412376;43.5695352;46.15533934;48.14152679;38.681174;40.412376;44.2437124;48.3375442;52.23887388;38.681174;40.412376;43.23261215;45.01781938;45.89066446;38.681174;40.412376;42.92950773;44.2524605;44.75634417
Armenia;3.065954;3.092072;3.015861462;2.862924261;2.683808341;3.065954;3.092072;3.037883698;2.922168992;2.780048762;3.065954;3.092072;3.101517926;3.102986295;3.080996771;3.065954;3.092072;3.012051346;2.847200449;2.647316523;3.065954;3.092072;2.973481894;2.743895685;2.495000807
Australia;20.40352;22.268384;26.04394069;29.72247576;33.21493385;20.40352;22.268384;25.98729857;29.56204787;32.85768479;20.40352;22.268384;25.14021826;26.83633334;27.89756971;20.40352;22.268384;25.80708701;28.96285263;31.70577628;20.40352;22.268384;26.8448778;32.34037885;38.02542698
Austria;8.232196;8.393643975;8.734395068;9.057297161;9.322539019;8.232196;8.393643975;8.696135397;8.945992517;9.109549735;8.232196;8.393643975;8.523159176;8.402350498;8.114111363;8.232196;8.393643975;8.64491004;8.783966227;8.81123138;8.232196;8.393643975;8.868581519;9.49724782;10.13598599
Azerbaijan;8.587902;9.187783;10.02272597;10.36761805;10.49490303;8.587902;9.187783;10.13246896;10.62777301;10.9300824;8.587902;9.187783;10.18940421;10.76718381;11.18634543;8.587902;9.187783;10.01666045;10.32857107;10.37603745;8.587902;9.187783;10.05139542;10.4593847;10.6548851
Bahamas;0.319358;0.342877;0.382994418;0.412886361;0.433724569;0.319358;0.342877;0.387312254;0.425809766;0.456432857;0.319358;0.342877;0.387208625;0.424909128;0.454490126;0.319358;0.342877;0.383897212;0.414556989;0.434514809;0.319358;0.342877;0.386643367;0.424372144;0.453648027
Bahrain;0.724807;1.261835;1.861274845;2.280288612;2.660193302;0.724807;1.261835;1.882643419;2.349125627;2.796066754;0.724807;1.261835;1.807036739;2.157155835;2.497883976;0.724807;1.261835;1.870452756;2.305982877;2.69836623;0.724807;1.261835;1.956205508;2.523500359;3.051666844
Bangladesh;140.587922;148.692131;163.5429554;173.8139765;178.5194431;140.587922;148.692131;166.2256035;181.1458191;191.0923234;140.587922;148.692131;168.9888308;190.2511316;207.6000125;140.587922;148.692131;163.8852046;174.3597423;178.7986023;140.587922;148.692131;162.5750625;170.9565021;173.7444164
Barbados;0.270503;0.273331;0.277198129;0.276425645;0.26975119;0.270503;0.273331;0.278637253;0.280747339;0.277148022;0.270503;0.273331;0.279159686;0.283038009;0.279917711;0.270503;0.273331;0.276457126;0.274551651;0.265475913;0.270503;0.273331;0.27729339;0.276912543;0.270924126
